index,answer1,answer2,condition,label
9889,Tennis Player,Kneeling,The body position.,1
9890,Proximity to water,Playing in water.,The closeness to water.,3
9891,Boy,Young,The age of the person.,2
9892,One,One,The number of person.,5
9893,Green,White.,The color of the skateboard.,2
9894,Open air market,Foreign land,The location.,5
9895,Africans,Female workers,The type of person at the market.,3
9896,Jumping in Water,Unknown,Height of the dog.,5
9897,Open,Open-mouthed,Whether or not the dog's mouth is open.,4
9898,Surfing,Wakeboarding,The hobby of people.,3
9899,One person.,One,The number of people.,2
9900,One,1 dog,The number of dog.,3
9901,Pond,Jumping,The exit of the dog.,1
9902,Two dogs,Two,The number of dogs.,5
9903,Beach,Field,The outdoor location.,2
9904,Stick,Stick,Object in dog's mouth.,4
9905,Low cut grassy area,Water.,Location.,2
9906,Woman.,Female,The gender of the persons.,4
9907,One,2 people,The number of persons.,2
9908,Canine,Dog,Type of animal.,5
9909,Running,Stationary,Speed of dog.,1
9910,Female,Female.,The gender of the persons.,5
9911,Picking.,"Standing in a crop, holding leaves.",The action of the persons.,4
9912,Dog,Dog,The animal type.,5
9913,Black and tan,"Brown, black",The animal's color.,2
9914,Skateboarding,Skateboarding,The activity.,5
9915,Two,One,The number of person.,1
9916,Karate match,Sports/Fitness,The type of job.,3
9917,Karate fighters,Men,The type of people.,1
9918,Catching	Game,Baseball,The type of sport.,2
9919,Throw and catch,Tagout,The motion of the players.,2
9920,Shallow stream,Deep,The water.,4
9921,Two,one,The number of animal.,1
9922,Male,Male,The gender.,4
9923,Pool,beach,The water body.,1
9924,Blue.,Black,The color of object.,4
9925,Swimming.,Surfing.,The hobbie.,2
9926,Three,Three people.,The number of people.,4
9927,Surgeons.,Surgeons,The occupation of the people.,3
9928,Construction worker,Construction Worker,The occupation of the subject.,5
9929,High,Moderate,The level of activity.,3
9930,Motorcycle,Motorcycles,The type of vehicles.,5
9931,One motorcycle.,Two,The number of vehicles.,2
9932,Surfing,Surfing,The sport.,4
9933,One surfer.,Three surfers.,The number of people.,2
9934,Pool party,Pool,The type of location.,5
9935,Adult,Child,The age of the person.,4
9936,Two dogs,Two dogs,The amount of dogs.,5
9937,Submissive behavior,Interaction,What the dogs are doing with each other.,4
9938,Surfing,Surfing,The person's hobby.,3
9939,One,Zero,The number of animals.,1
9940,Baseball,Baseball,Type of sport.,4
9941,Running,Swinging.,Speed of the player.,1
9942,Soccer,Soccer,The sport.,5
9943,Soccer ball is white.,Red,The color of object.,1
9944,Dog,Dog,Type of animal.,5
9945,Rolling,Leaping,Activity.,2
9946,Swimming,Swimming,The activity of person.,2
9947,Red,Pink,The color of object.,1
9948,1,One person.,The number of the pesons.,5
9949,Black & White,Unknown,The color of the wearing.,2
9950,One,One,The number of person.,5
9951,Performing on stage.,Music performance,The name of the action.,3
9952,Musical performance,Music Performance,Playing musical instruments.,5
9953,Two,One.,The number of men.,1
9954,Greyhound,Greyhound,The breed of dog.,5
9955,Two,One dog.,The number of dogs.,2
9956,Walking and licking.,Fetching,Action of the dog.,1
9957,One dog.,One,Number of dogs.,1
9958,Snowy slope,Snow slope,The type of terrain.,4
9959,Snowboarding,Winter sports,The type of hobby.,3
9960,One,One person,The number of people.,5
9961,Snowboarding,Skiing,The activity of the people.,4
9962,Snowboarding,Snowboarding,The sport.,5
9963,Pink,White,The color of the object.,4
9964,Bull,Bull,Type of misbehaving animal.,5
9965,Horses,Bull,Animal being ridden.,1
9966,Snowy mountain,Snow-covered mountain.,The type of terrain.,4
9967,Two people,One,The number of people.,1
9968,One.,Multiple,The number of child.,4
9969,Gaming,Trading card game,The activity of the child.,3
9970,Male,Male,The sex of the person.,3
9971,White,Blue,The color of shirt.,1
9972,Playing in sprinklers,Splashing,The action of the person.,2
9973,Backyard,Children's pool,The place of the game.,1
9974,Bicycle,Mountain bike,The means of transportation.,5
9975,BMX Jumping,Mountain biking,The activities setting.,3
9976,Dog,Dog,The type of the animal.,5
9977,No information provided.,Brown,The color of the animal.,1
9978,Speed not mentioned,Running,Speed of dog.,4
9979,Dog,Dog,Type of animal.,4
9980,Poodle,dog,The animal.,4
9981,stick,Soccer ball,The object the animal is biting.,1
9982,Horses.,Calf,The type of animal being ridden.,5
9983,Three horses,Three animals,The number of animals present.,1
9984,Track maintenance.,Track maintenance,The activities engaged in.,5
9985,Track maintenance.,Railroad maintenance,The work engaged in.,3
9986,Shirtless,White shirt,The climber's clothes.,5
9987,Rock climbing,Rock climbing,The climber's intention.,4
9988,Snowy slope.,Snowshoeing.,The place of activity.,3
9989,Two people,Three people.,The number of person.,2
9990,Black,Brown,The animal's color.,4
9991,Dog.,Dog.,The type of animal.,3
9992,One,One person.,The number of people.,2
9993,Blue,Missing information.,The color of object.,1
9994,Surfing,Wakeboarding,The name of the sport.,4
9995,Light,Big,The size of the waves.,1
9996,Two dogs,One,The number of animlas.,5
9997,dogs,Mammal,The type of the animlas.,5
9998,Snowboarding,Snowboarding.,The type of extreme sport.,5
9999,Red,Orange,The color of what the person is wearing on their upper body.,2
10000,Soccer ball,tennis ball,The type of ball.,5
10001,Dog.,Dog,The type of animal.,5
10002,Beach activities,Beach running,The hobby.,4
10003,Brown.,Black,The color.,4
10004,Wading pool.,Swimming pool.,The pool.,5
10005,One.,Two,Number of children.,3
10006,White,White,The color of the mountain.,2
10007,One person.,Several,The number of persons.,2
10008,Motorcycle rider,Riding ATV,The movement of people.,5
10009,Motorcycle,ATV,The type of transportation.,1
10010,Wheelie,Cyclist,The position of the vehicle.,2
10011,One wheel.,Two,The number of wheels.,2
10012,Poodle,Dog.,The name of the animal.,5
10013,Retrieve,Running,The action of the dog.,2
10014,Horse,Horse.,The animal.,5
10015,Close proximity,Close distance,The proximity of the man to the horse.,3
10016,Three,Three,The number of person.,2
10017,Classroom.,White room,The place of presenting.,2
10018,Construction workers.,Construction workers,The type of workers.,4
10019,Erecting scaffolding.,Climbing,The motion of the workers.,1
10020,Female,Female.,Gender of people.,5
10021,Brass instruments,Choir,Source of the sounds.,5
10022,Walking,Confrontation,The action of the dogs.,2
10023,Three,Two dogs,The number of the dogs.,1
10024,Snowboarding,Snowboarding,The type of sport.,5
10025,Snowboarding trick.,Snowboarding,The motion of the person.,4
10026,Dog,Dogs.,The type of animal.,5
10027,One,2 dogs,The number of animals.,5
10028,Teaching kids,Training,The activity.,4
10029,"Four adults, group of children",Group,The number of people.,3
10030,Football,Football,The type of sport.,5
10031,11,Two players,The number of players.,4
10032,Firefighter,Firefighters,The type of occupation.,5
10033,Three,Four,The number of people.,1
10034,Baseball.,Baseball,The game played.,5
10035,Mid-air,Ready,The ball's position.,4
10036,Cycling,Cycling,The sport.,5
10037,Orange,Black,The color of object.,3
10038,Sniffing interaction,Playful interaction,The interaction between the dogs.,3
10039,Two,Two dogs,The number of dogs.,2
10040,Tennis,Tennis,Type of sport.,3
10041,Male,Female.,Gender.,1
10042,Motorbike,Motorcycles,The type of the vehicle.,5
10043,Two individuals,Small crowd,The number of persons.,1
10044,Solo,One.,Number of people.,5
10045,Inline skates,Shoes,Type of foot covering.,1
10046,Round,Round,The shape of the toy.,4
10047,Black,Brown,The color of the dog.,1
10048,Digging and watching.,Archaeological excavation.,The actions being performed.,4
10049,One,Two people.,The amount of people who are digging.,2
10050,Snowing,Snowy.,The weather.,4
10051,Downhill skiing,Aerial snowboarding,The means of traversal.,2
10052,Spectators,Spectators,The presence of observers.,5
10053,Cowboy,Cowboy,The person's occupation.,4
10054,Skateboarding.,Skateboarding,The game being played.,5
10055,Slope,Concrete gap,The place of the sport performed.,2
10056,In the Water,Entering pool,Position of the man relative to the water.,4
10057,Feet,Head,Part of the man's body that will hit the water first.,2
10058,Fielding,Field maneuvers.,Game playing (low similarity because in first sentence the player hit the ball and in the second sentence the player try to catch the ball).,5
10059,Baseball,Baseball,The game ( high similarity because in both sentence the players are playing baseball).,4
10060,Sitting,Sitting,Body position of the person.,5
10061,Blue blanket,Blanket,Spot wear person is sitting.,1
10062,Live Music,Music,The medium of performance.,4
10063,2,One singer,The number of performers.,1
10064,Horse,Calf,The different types of animal.,4
10065,No cow.,Calf,The presence of cow.,1
10066,Skateboarding,Skateboarding,The sport being played.,4
10067,Skate park.,Skatepark,The place of the action.,2
10068,Cowboy,Cowboy,The person's occupation.,5
10069,Horse,Bull,The animal.,3
10070,Marathon runners,Large group,The number of people.,5
10071,Athletes,Athletes,Marathon runners.,2
10072,One person.,One individual,The number of persons.,5
10073,Playing guitar,Chiptune music,The name of activity.,1
10074,One,One,The number of people.,4
10075,1,Two.,The number of rocks.,1
10076,One,One dog.,The number of dogs.,2
10077,White,White and brown,The color of the dog.,2
10078,Surfboard,Surfboard,The means of traversal.,5
10079,Child,Adult.,The age of the riders.,2
10080,Two,Two,The number of animals.,5
10081,Playful gesture,Chasing,The animals intentions.,3
10082,Surfing,Surfing,Type of recreational activity.,5
10083,Blue and black,White,Color of clothes.,1
10084,Dog,Dog,The mammalian type involved.,5
10085,One,One,The number of swimmers.,5
10086,Dogs,Dogs,The type of animal.,5
10087,Brown,Black,The color of the animals.,2
10088,Beach,Grassy field.,The setting.,4
10089,Child,Child,The age of the person.,3
10090,Skateboarding,Skateboarding,The sport the person is doing.,5
10091,Skatepark,Skate park,The location of the sport.,4
10092,Skateboarding,Skateboarding,The sport being played.,4
10093,Three,One,The number of people present.,1
10094,Bowl,Cement wall,The type of riding object.,5
10095,Bowl coping,Graffiti-covered cement wall.,The nature of the riding surface.,3
10096,Ramped concrete,Ramp,The nature of the skating surface.,4
10097,Skateboarding,Skateboard,The type of riding material.,2
10098,Jumping,Jumping,The motion of the person.,5
10099,Child,Young.,The age of the person.,1
10100,Skateboarding trick.,Trick,The type of performance.,3
10101,Skateboarding,Freestyle Snowboarding,The name of the game.,3
10102,Cascade,Cascade,The type of water flow.,5
10103,1,One.,The number of observers.,3
10104,Up,Up,Direction of movement.,5
10105,Blue,Red & White,Color of clothes.,1
10106,Urban environment,Outdoor skating park,The location.,5
10107,Rollerblading,Rollerblading,They type of sport.,4
10108,One person.,One person.,The amount of people.,4
10109,Pink,Blue,The color of the attire.,2
10110,Child,Child,The person's age.,4
10111,Superman,Orange,The person's shirt.,1
10112,One person.,1,The number of person.,5
10113,Surfing,Surfing,The activity of the person.,5
10114,Baby pool,Above-ground pool,Location.,4
10115,One,Two,Number of children.,3
10116,Bicycle,Bicycle.,The vehicle type.,5
10117,Bicycle race,Bicycle race,The competition type.,2
10118,Black.,Black.,The color of black wearing.,3
10119,Music Performance,Dance,The activity of music.,2
10120,One,One person,The number of persons.,5
10121,No information available.,Green Shoes,The absence of green shoes.,1
10122,Canoeing,Canoeing,The activity.,5
10123,Two,Three,The number of person.,1
10124,Surfboard,Surfboard,The type of board.,4
10125,Surfing,Jumping Stunt,The action of the surfer.,1
10126,Football,Football,The sport.,4
10127,Running with the ball,Possession,The position of the player holding the football.,3
10128,Racetrack,Racetrack,The place of drive.,5
10129,Group,Multiple riders,The number of people.,4
10130,One,One person.,The number of people.,5
10131,Steer,Bull.,The animal.,1
10132,Mountain bike,ATV,The vehicle.,3
10133,Bumpy,Dirt.,The ground surface.,2
10134,Water,Sprinkler.,The presence of water.,5
10135,Water wading.,High intensity,The intensity of the activity.,4
10136,Stairs,Stairs,What the person is skating through.,5
10137,Boy,Adult.,The age of the person.,2
10138,Solo,Number of spectators,Number of peole.,4
10139,Jumps,Skateboarding.,Action of a skateboarder.,3
10140,Snowboarding.,Snowboarding,Recreational activity.,5
10141,Snowboarding trick.,Jumping off.,Action being taken.,3
10142,Winter,Winter,The season.,5
10143,Coats and plastic,Sled,The object being used to ride in the snow.,3
10144,Dogs,Dog,The type of animals.,5
10145,Brown,Blond,The color of the dogs.,2
10146,Dachshund,Dog,The type of animal.,4
10147,Brown,Tan,The color of the dog.,3
10148,Multiple,Two.,Number of people.,4
10149,Bicycle race.,Competing bikers,Existence of competition.,3
10150,One,One,The number of animals.,4
10151,Brown,Black,The color of the animals.,1
10152,Surfing,Surfing.,The type of water sport.,5
10153,Unspecified,Male,The gender of the surfer.,3
10154,Skateboarding,Skateboarding,The hobby.,5
10155,Stair rail grind,Jump,The stunt type.,1
10156,Cycling,Cycling,The sport being played.,5
10157,Marathon,Recreational cycling,The type of cycling event.,3
10158,Tennis,Tennis,The sport played.,5
10159,Adult,Player's age: undisclosed,The age of the player.,2
10160,Black,White with brown spots,The color of the dogs.,5
10161,Water,Water,What the dogs are positioned in.,3
10162,One,1,The number of persons.,4
10163,Cliffs,Scenic view.,The nature of the place.,2
10164,Soccer,Soccer,The game being played.,5
10165,Female,Male,The sex of the player.,1
10166,Soccer,Soccer,The sport.,4
10167,Yellow and black,Blue and white,The uniform color.,1
10168,Running,Jogging,The action of the persons.,5
10169,Street,Street,The type of place.,5
10170,Dogs,Dog,The type of the animals.,4
10171,Two animals.,one,The number of the animals.,2
10172,One,1,The number of animal.,4
10173,Brown,Black,The color of animal.,2
10174,Skateboarding,Downhill Skateboarding.,The sport.,5
10175,Trick.,High速,The speed of the skating.,4
10176,Fetching,Hunting.,The action of the animal.,5
10177,Toy,Object in grass,The prominence of the object.,1
10178,Males,Male,The gender of the persons.,5
10179,Two individuals,Four people,The number of the persons.,1
10180,Skateboarding on stairs,Mid-air,The position of the person.,4
10181,Skateboarding,Skateboarding,The type of hobby.,2
10182,Baseball.,Baseball,The type of sport.,5
10183,Running,Pitching baseball,The motion of the players.,4
10184,Scouts,On stage,The name of the position.,4
10185,Multiple,Two people,The number of person.,3
10186,Two,Two,The number of kids.,5
10187,Playground,Fountain,The setting.,1
10188,One,One,The number of people.,5
10189,In hand,Above,The location of frozen water with respect to the child.,3
10190,Red painted.,Color change,The nature of the painted area.,3
10191,Red,Orange,The color of the paint.,3
10192,Children,Children,The people's age.,3
10193,Five,Four,The number of people.,1
10194,Female,Female.,The sex of the person.,5
10195,Standing.,Submerged hands.,The motion of the person.,1
10196,Walking,Walking,The type of human motion.,5
10197,Urban environment,Bikes,The types of objects near the people.,1
10198,Beach,Wave,The type of location.,5
10199,Surfing,Surfing,The type of hobby.,2
10200,Dog,Dog,The type of animal.,5
10201,Jumping,Running,The motion of the animal.,4
10202,Fishing,Fishing,The type of hobby.,3
10203,Black and blue,Gray,The color of clothing.,1
10204,Rapid Speed,Fast,The rider's speed.,5
10205,Bicycles,Bicycles,The means of transportation.,4
10206,Two.,2 men,The number of people.,5
10207,Wrestling,Karate,The type of martial art.,2
10208,Female,Female,The sex of the person.,4
10209,Twirling.,Sitting on ground.,The motion of the person.,1
10210,Cycling,Cycling,The person's hobby.,5
10211,Male,Female,The person's gender.,1
10212,Bull riding,Rodeo,The sport being played.,4
10213,Spectators.,Two.,The number of people.,3
10214,Six people,Six people,The number of the people.,5
10215,Skateboarding_TRICK.,Somersault,The name of the action.,2
10216,Bicycle Trick,Bike jump.,The activity.,4
10217,Cyclist,Biker,The person.,3
10218,Bodyboarding.,Surfing,The activity.,5
10219,Orange,Blue,The color of object.,1
10220,Bike race,Bicycle race,The event type.,5
10221,Stone,Asphalt,The surface type.,4
10222,Swimming pool,Pool.,The type of location.,2
10223,Two.,One,The number of children.,1
10224,Wood,Metal,Type of material.,3
10225,Barefoot,Barefoot,The abscence of foot coverings.,3
10226,Chasing,Running,The motion of the animal.,5
10227,Decoy,Dog,The type of animal.,5
10228,Horses. 🐎,Horses.,The animal.,3
10229,One.,Five men,The number of people.,1
10230,Football,Football,The sport.,5
10231,One.,One.,The number of people.,3
10232,Rock climbing,Motionless,The status of motion.,3
10233,Very steep,Vertical,The steepness.,2
10234,Baking,Cheese cutting.,The activity.,2
10235,Baking bread.,Cheese cutting.,The work involved.,2
10236,Dogs,Dog,The type of animal.,5
10237,Two,One,The number of animals.,2
10238,Beach,Wave,Location.,4
10239,Orange,Obscured,Visibility of person.,2
10240,Skateboarding.,Skateboarding,The type of hobby.,4
10241,Skateboarding.,Mid-air,The posistion of the person.,1
10242,Aquatic.,Beach,The environment (water).,4
10243,Water play,Beach soccer.,The activity.,4
10244,Surfing,Surfing,The sport performed.,5
10245,Airborne,Crouching on surfboard,The position relative the water.,2
10246,Underground construction,Underground.,The nature of the workplace.,3
10247,Orange,Black.,The color of the wearings.,1
10248,Cold and snowy.,Snowy,The weather.,4
10249,One climber.,Group,The amount of climbers.,2
10250,Snowboarding trick,Skateboarding downhill.,Type of dangerous activity.,3
10251,Snowboarding,Skateboarding,Type of hobby.,2
10252,Snowboarding,Snowboarding,The sport.,4
10253,Beige snow clothes,Snowboarding attire,The clothing.,4
10254,Horse,Bull,The type of animal.,1
10255,Rodeo,Rodeo,The type of event.,1
10256,Street performer.,Street performer,The occupation.,2
10257,Handstand,Flip,The physical action.,1
10258,Dogs,Dogs,The type of animal.,4
10259,Three,Two,The number of animals.,1
10260,Kayak,Tandem,The type of canoe.,5
10261,1 pair,Two,The number of people.,2
10262,Surfing.,Surfboarding,The sport.,5
10263,Intermediate,Intermediate,The level of experience.,3
10264,Muzzled Greyhounds,One,The number of dog.,4
10265,Greyhound race.,Greyhound racing,The type of race.,3
10266,Beach,Beach,The type of of terrain.,4
10267,Female,Male,The sex of the child.,1
10268,Snowboarding,Skiing,The hobby.,3
10269,Red & Tan,Red,The color of object.,2
10270,Horse,Horse,The type of animal.,5
10271,On Horse,Upside-down,The position of the rider.,2
10272,GGray.,Brown,The color of the hair.,4
10273,Two persons.,Two persons,The number of persons.,3
10274,Soccer,Softball,The game played.,3
10275,Female,Female.,The person's gender.,2
10276,Dog,Dog,The type of animal.,5
10277,Dog wading in water.,Jumping into water,The animation of the dog.,1
10278,Little,Child.,The person's age.,5
10279,Bubbles,Girl playing with leaves,The person's attention.,1
10280,One,One,The number of person.,5
10281,Surfing,Surfing,The action of the person.,4
10282,Several men,One person,The number of persons.,5
10283,Horses,Horse.,The type of animals.,2
10284,Colorful ramp,Barrier,The nature of the riding surface.,5
10285,Skateboarder,Skater,The profession of the person.,4
10286,Canoe,Canoe,The type of boat.,5
10287,One canoe.,Two,The number of canoes.,1
10288,Dog,Dogs,The type of animal.,5
10289,Interaction,Near Each other,The animal's interactions.,2
10290,Meat selling.,Food preparation,The nature of work.,4
10291,Female.,Male,The type of gender.,1
10292,One,One,The number of people.,5
10293,Observation,Fishing.,The type of action.,4
10294,Snowboarding.,Snowboard,The type of riding material.,5
10295,Three people,One.,The number of people.,1
10296,Blue,Black.,The color of the wetsuit.,4
10297,Matching colors,Water skiing.,The places are same.,4
10298,Water,Lake,The place of activity.,4
10299,Swim trunks,Trunks,The boy wears.,1
10300,Bike race,Off-road race,The competition.,4
10301,Street,Off-road,The type of terrain.,2
10302,Male,Woman and man.,The gender of the persons.,3
10303,One person.,Two persons.,The number of persons.,3
10304,2,Two,The amount of children.,5
10305,Rural path.,Shore,The location.,1
10306,Motorcycle,Jet ski,The presence of an engine.,4
10307,two people ,Two people.,The number of people.,3
10308,Two dogs,Two,The number of animals.,5
10309,Grassy field,Outdoors.,The nature of the place.,4
10310,Male.,Male,The gender of the child.,5
10311,Underwear and shoes,Orange shirt.,The articles of clothing.,3
10312,Baseball,Baseball,The type of sport.,5
10313,Maroon,White,The color of the jersey.,2
10314,Clings,Rock climbing,The action of the people.,5
10315,Male,Male,The gender of the people.,5
10316,Bicycle,Bicycle,The name of the vehicle.,5
10317,Bike jump.,Mountain biking.,The name of the activity.,4
10318,Guitar,Guitar,Type of musical instrument.,4
10319,Chair,Fence,Surface being sat on.,2
10320,Standing,Surprised look,The action of the person.,4
10321,Street Market,Market.,The place.,4
10322,Dogs,Dogs.,The species of animal.,3
10323,SnowStanding,Boat,The animal's location.,2
10324,One person.,Multiple,The number of persons.,1
10325,Leopard-less,Not applicable.,The absence of leopard.,1
10326,Skateboard,Skateboarding,The mean's of transportation.,5
10327,Balancing on dumpster,Airborne,The rider's proximity to the ground.,3
10328,Skateboard,Skateboard,The means of transportation.,5
10329,Ramp,Bicycle rake.,The obstacle overcome.,3
10330,Construction.,Construction.,The type of work.,4
10331,Two,Two men.,The number of people.,1
10332,Tennis,Tennis,The type of sport.,4
10333,Red,Blue and white,The color of clothing.,1
10334,Newborn.,Premature,The newborn baby.,4
10335,Side sleeping,Supine,The way of sleeping.,2
10336,Chores,Collecting firewood.,The action performed by the woman.,4
10337,Basket,Sticks.,The object being carried.,2
10338,Two people.,Two people.,The number of people.,5
10339,Hut,Tent,The object stood in front of.,4
10340,Skateboard,Skateboard,What the person is riding on.,5
10341,Smooth Concrete,Metal bar,Type of surface.,4
10342,Hiking,Climbing,The action of the person.,4
10343,Rocky,Rocky.,The nature of the path.,2
10344,Male,Social construct,Gender.,5
10345,Walking,Barefoot Player.,Speed of the boy.,2
10346,Skateboard.,Skateboard,The item being used.,4
10347,Trick.,Skateboarding,The type of skateboard activity being performed.,3
10348,Snowboarding,Snowboarding,The sport being played.,4
10349,Rail,Snow slope,The obstacle the rider is traversing.,2
10350,Male,Male,The gender of the person.,5
10351,Flipped,Horizontal,The orientation of the skateboard.,5
10352,Crowd,Audience members attending,The number of people.,4
10353,Live Performance,Indoor Concert,The music and concert.,4
10354,Beach surfing.,Beach_surfing,The place are activity.,4
10355,Orange,Yellow,The color of surfboard.,1
10356,Two,Two dogs,The amount of dogs.,5
10357,Play-fighting,Dog interaction,What the dogs are doing.,2
10358,Dogs,Dog,The type of animal.,4
10359,Four,Two,The number of animals.,3
10360,One person.,One.,The number of people.,4
10361,Descending,Height of wave,The elevation of the person.,4
10362,Two,Two dogs.,The number of animal.,3
10363,Not mentioned,Black and brown.,The color of animal.,2
10364,Dog,Dog,The animal.,4
10365,Gray and tan.,Brown,The color of animal.,2
10366,Vegetables,Fruits and vegetables.,The food.,5
10367,Street market,Umbrella-shaded produce market in India.,The specific market.,3
10368,Standing,Observing,What the people are doing.,5
10369,Sidewalk,Street corner,Where the people are standing.,5
10370,Night,Night,The time of day.,5
10371,Motocross,Skateboarding,The type of sport.,4
10372,Child,Child,The person's age.,5
10373,Playground Seahorse,Playing with Legos,The person's attention.,3
10374,Stairs,Stairs,What the people are on.,3
10375,Stationary,Normal pace,The speed of the people.,2
10376,Seashore,Proximity to water,The nearness to water.,4
10377,Seashore with seaweed,Rocky area,The terrain travelled.,4
10378,In the air,Airborne,The height of the people above the ground.,4
10379,Dirt bike,Motorcycle,The type of vehicle being ridden.,3
10380,Stunt cycling,Bicycling trick,The similar action.,4
10381,Helmet,Beige pants.,The outfit of the cyclist.,1
10382,Football,Football,The sport being played.,5
10383,Running,Quarterback in throwing stance.,The position of the player.,3
10384,Running,Running,The movement of the dog.,5
10385,Orange line,Ball,The object touching the dog.,4
10386,Biking.,Midair trick,The motion of the riders.,4
10387,Cycling.,Extreme sports,The type of hobby.,1
10388,Skiing,Extreme skiing,The people's hobby.,4
10389,Zero,Group,The number of riders.,1
10390,Two dogs,One dog.,The number of animals.,4
10391,Leaping,Jumping,The action of the animal.,3
10392,Pipers,Scottish bagpipers,The presence of bagpipes.,5
10393,Four men.,Bagpipers,The number of persons.,3
10394,Ice hockey,Hockey,The type of game.,5
10395,Goalie,Goalie,The position of the game.,3
10396,Football,Football,The sport being played.,5
10397,Pass play,Football.,The sports play being run.,1
10398,One,One,The number of people.,5
10399,Pool Play,Slip and slide,The activity.,2
10400,Bicycles.,Bicycles,The type of the vehicles.,4
10401,Group,Multiple,The number of peoples.,3
10402,Horse,Horse,The name of the animal.,5
10403,Horsemanship,Horse control.,The name of the action.,4
10404,Skateboarding,Skateboarding,The means of traversal.,5
10405,Dreadlocks,Long-haired,The rider's hairstyle.,2
10406,Yorkie,Dog,The name of the animal.,4
10407,Playing,Jumping,The action of the animal.,2
10408,Rock climbing.,Mountain Climbing,The hobby.,5
10409,Safety gear,Safety Gear,The presence of safety gear.,2
10410,Dog,Dog,The type of animal.,5
10411,On paved path,Field,The location of the dogs.,1
10412,Presence,Crowded,Presence or absence of crowd.,4
10413,Stage,Stadium,Type of venue.,1
10414,Two,Two,The number of persons.,5
10415,Two women.,Two men,The gender of the persons.,1
10416,Reading,Reading,The people's means of entertainment.,2
10417,Feminine,Man,The people's genders.,1
10418,Running race,Race,The competition type.,4
10419,Race.,Urban scenery,The competition's background.,4
10420,Two,Two,The number of bikers.,5
10421,Unknown,Spectators: unspecified,The number of spectators.,3
10422,Dogs,Dogs,The type of animals.,5
10423,"Black, brown, white",Brown and Gray,The color of the animals.,3
10424,Towards each other.,Forward,The direction the dogs are facing.,5
10425,Two,One,The number of dogs.,1
10426,Pool,Water squirting toy,Type of water container.,3
10427,Pool flotation devices,Water squirting.,Type of toys.,1
10428,Boy,Unknown,The age of the rider.,4
10429,Bicycle.,Bike,The vehicle used.,2
10430,Beach,Inflatable pool.,Location.,4
10431,Shallow,Poolsplash,Speed of water.,2
10432,Snowboarding,Skateboarding,The outdoor activity.,4
10433,Bright yellow.,Gray jacket and blue pants,The clothing.,2
10434,Baseball,Baseball,The game being played.,5
10435,Two,Two,The number of players.,2
10436,Air,Sky,The place of the action.,5
10437,Snowboarding,Extreme skiing,The sport being played.,1
10438,Dogs,Dogs,The name of the animal.,4
10439,light colored,Black.,The color of the dog.,2
10440,"3 (cowboy, rodeo helpers, audience)",One.,The number of persons.,3
10441,No protective vest.,No protective vest,The absence of protective vest.,1
10442,Group Photo,Beach,The waterfront.,3
10443,Platform,Sand,The surface the people are on.,2
10444,Tennis,Tennis,The sport played.,5
10445,Prepared.,Swinging速率,The person's arm's speed.,3
10446,Volleyball,Volleyball,The sport.,4
10447,Beach,London,The place.,4
10448,Bicycle,Mountain bike,The method of transportation.,4
10449,Jumping Off,Downhill.,The elevation.,3
10450,Dog,Dog,The type of animal.,3
10451,Three animals.,One,The number of animals involved.,1
10452,Yellow,Red,The color of the toy.,2
10453,Yellow toy,Red toy,What the dog is holding.,2
10454,Dogs,Dogs.,The type of animals.,4
10455,Red,Orange,The color of the object.,2
10456,Bike,Bike,Type of vehicle.,5
10457,Female,Male,Gender.,3
10458,Football,Football,The sport being played.,5
10459,Offensive player,Tackler and ball carrier.,The player's positions.,3
10460,Exiting tunnel,Grass,The animals location.,3
10461,Trot,Loose trot,The animals gait.,2
10462,Dog not present,No dog,The absence of dog.,5
10463,White,Brown and white.,The color.,1
10464,Baseball,Baseball,The name of the game.,5
10465,Watchful audience,Watching baseball,The action of the crowd.,3
10466,Dogs,Dog,The type of animal.,5
10467,White and brown,Black and white,The animal's color.,2
10468,Brown,Black and brown,The color of animal.,4
10469,Sitting,Running,The activity.,1
10470,Surfing,Surfing,Type of recreational activity.,5
10471,One wave.,Multiple,Number of waves.,3
10472,Surfing,Surfing,The type of hobby.,5
10473,Great,Small,The size of the waves.,3
10474,Skateboard,Skateboard,The type of the riding object.,4
10475,Airborne,Concrete.,The nature of the riding surface.,2
10476,Dog,Dog,The type of animal.,4
10477,Black,Brown,The animal's color.,2
10478,One,One.,The number of persons.,5
10479,Surfing,Surfing,The action of the persons.,2
10480,Snowboarding,Tightrope walking,The activity.,4
10481,Group watching,One,The number of person.,1
10482,Baseball,Baseball,The game played.,5
10483,Teenager,Unknown,The player's age.,4
10484,Female.,Female.,Gender.,5
10485,2,One,Number of paintings.,3
10486,Blue and red,Pink and blue,The colors of the uniforms.,4
10487,Soccer,Soccer,The sport being played.,3
10488,Mechanic,Roadworkers,The people's occupation.,3
10489,Winter,Night,The time of day.,1
10490,Black sweatshirt and red vest.,White t-shirt and long-sleeve plaid shirt,The person's clothes.,5
10491,Child,Boy,The person's age.,4
10492,Engraving.,Stone carving,The hand action.,4
10493,Female,Male.,The gender.,2
10494,Soccer,Soccer,The sport being played.,4
10495,Four,Two,The number of people.,2
10496,Surfing.,Surfing,The type of hobby.,5
10497,Two people,One person.,The number of people.,5
10498,Nighttime skateboarding,Vandalized,The nature of the place.,4
